"","X0DP1","X0DP2","X0DP3","X1DP1","X1DP2","X1DP3","X3DP1","X3DP2","X3DP3","X7DP1","X7DP2","X7DP3","X0DA1","X0DA2","X0DA3","X1DA1","X1DA2","X1DA3","X3DA1","X3DA2","X3DA3","X7DA1","X7DA2","X7DA3","PC1","PC2","PC3","pc1.change","pc2.change"
"10.924/1247.67359426887",122860.5,122860.5,122860.5,122860.5,122860.5,122860.5,122860.5,122860.5,122860.5,122860.5,122860.5,122860.5,508957,245721,378950,574783,454159,418075,429883,427004,392129,309791,375737,354646,0.107852885559529,0.0554629988580218,0.0105699150071093,"UP","none"
"15.314/1391.08649035025",113347.5,113347.5,113347.5,113347.5,113347.5,113347.5,113347.5,113347.5,113347.5,113347.5,113347.5,113347.5,589328,519657,538621,594689,371032,436651,602813,615741,470596,529310,428699,226695,0.118920365047739,0.0523596300470888,-0.0914027000001497,"UP","none"
"17.351/1457.75261069949",65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,290000,240000,301332,209131,160000,140000,160000,130000,170000,3e+05,350000,250000,0.106088877108672,0.0448152594555904,-0.0904661300046958,"UP","none"
"19.858/1540.90225275726",287308.5,287308.5,287308.5,287308.5,287308.5,287308.5,287308.5,287308.5,287308.5,287308.5,287308.5,287308.5,718305,667058,706107,622498,584927,574617,740160,681161,736315,723001,777780,703423,0.093262730479317,0.0453570196085627,-0.0119447314527004,"UP","none"
"20.954/1577.65927884938",622876,622876,622876,622876,622876,622876,622876,622876,622876,622876,622876,622876,1405669,1312119,1593891,1505715,1519871,1828662,2017463,1442791,1557441,1245752,1353070,1509517,0.0941440739500948,0.0475330132239895,0.0127325737878194,"UP","none"
"21.645/1600.87640653175",280434.5,280434.5,280434.5,280434.5,280434.5,280434.5,280434.5,280434.5,280434.5,280434.5,280434.5,280434.5,627537,560869,665967,872974,727142,777865,729186,607161,751320,632099,634259,580740,0.0937969652049919,0.0475139149954824,0.0182424914713623,"UP","none"
"22.135/1618.15269620929",164367,164367,164367,164367,164367,164367,164367,164367,164367,164367,164367,164367,376629,328734,665974,894203,775590,674013,1228056,560830,540681,580477,660152,816013,0.114685344865856,0.0738899404783914,0.200190431755175,"UP","none"
"23.324/1660.07414197786",117956,117956,117956,117956,117956,117956,117956,117956,117956,117956,117956,117956,558822,443269,714277,389709,590330,259651,235912,466863,270143,276952,277296,359501,0.104452366591112,0.0337751203345145,-0.209077832507973,"UP","none"
"24.278/1693.71002024801",97804.5,97804.5,97804.5,97804.5,97804.5,97804.5,97804.5,97804.5,97804.5,97804.5,97804.5,97804.5,362317,226119,469470,195609,265072,264640,287508,324244,312619,288249,306041,244209,0.102959720673039,0.0494064893651062,-0.0720529096626862,"UP","none"
"34.508/2091.7501473188",32188.5,32188.5,32188.5,32188.5,32188.5,32188.5,32188.5,32188.5,32188.5,32188.5,32188.5,32188.5,74368,64377,650000,568769,1073431,1221559,870570,883828,794791,1211901,1066342,923768,0.164552326977367,0.124329130545536,0.467727489811677,"UP","UP"
